Descrição;Empenhado;Liquidado;Pago;Agrupador
"                33903603 - Estagiários e Monitores";20.000,00;12.746,78;12.746,78;CDSUBELEMENTODESPESA
"            - 37 - Locação de Mão de obra";1.358.039,08;766.273,31;749.431,88;CDELEMENTODESPESA
"                33903709 - Apoio temporário para festas populares";100.355,22;83.486,07;83.486,07;CDSUBELEMENTODESPESA
"                33903713 - Serviço Administrativo - Verbas Eventuais";83.932,40;26.951,67;26.951,67;CDSUBELEMENTODESPESA
"                33903704 - Serviço Administrativo";223.416,16;182.196,05;182.196,05;CDSUBELEMENTODESPESA
"                33903718 - Serviço de Motoboy e Motorista - Verbas Eventuais";43.588,52;47.882,78;44.855,88;CDSUBELEMENTODESPESA
"                33903708 - Serviço de Motoboy e Motorista";144.174,18;87.741,97;82.153,98;CDSUBELEMENTODESPESA
"                33903703 - Serviço de Vigilância";399.899,59;193.335,06;193.335,06;CDSUBELEMENTODESPESA
"                33903712 - Serviço de Vigilância - Verba Eventuais";113.395,81;5.064,80;1.053,48;CDSUBELEMENTODESPESA
"                33903710 - Serviços de Limpeza - Verbas Eventuais";26.518,42;19.216,59;15.001,37;CDSUBELEMENTODESPESA
"                33903701 - Serviços de Limpeza";222.758,78;120.398,32;120.398,32;CDSUBELEMENTODESPESA
"            - 39 - Outros Serviços de Terceiros - Pessoa Jurídica";6.554.998,17;3.176.114,26;3.166.281,85;CDELEMENTODESPESA
"                33903986 - Adiantamentos Despesa Miudas";800,00;0,00;0,00;CDSUBELEMENTODESPESA
"                33903980 - Adiantamentos Reparo e Conservação";1.000,00;0,00;0,00;CDSUBELEMENTODESPESA
"                33903903 - Locação de Imóvel";320.046,04;195.282,36;195.282,36;CDSUBELEMENTODESPESA
"                33903914 - Locação de Máquinas e Equipamentos";122.482,89;66.747,13;55.276,58;CDSUBELEMENTODESPESA
"                33903902 - Locação de Veículos";201.485,85;65.832,24;60.972,70;CDSUBELEMENTODESPESA
"                33903924 - Manutenção e Conservação de bens imóveis";3.885.157,02;2.385.157,55;2.385.157,55;CDSUBELEMENTODESPESA
"                33903939 - Patrocínio de Eventos";843.000,00;348.000,00;348.000,00;CDSUBELEMENTODESPESA
"                33903912 - Serviços de Postagem, Entregas e Cobranças";1.847,04;253,50;253,50;CDSUBELEMENTODESPESA
"                33903942 - Serviços de Transporte";1.921,19;0,00;0,00;CDSUBELEMENTODESPESA
"                33903975 - Serviços Técnicos Profissionais";1.029.206,14;100.211,28;99.895,58;CDSUBELEMENTODESPESA
"                33903908 - Serviços Telefonia Fixa, Móvel Sem Pacote de Dados";148.052,00;14.630,20;21.443,58;CDSUBELEMENTODESPESA
"            - 40 - Serviços de Tecnologia da Informação e Comunicação - PJ";41.113,40;18.765,16;16.039,67;CDELEMENTODESPESA
"                33904001 - Locação de Equip Informática";2.359,73;15.656,49;15.656,49;CDSUBELEMENTODESPESA
"                33904009 - Outsourcing de Impressão";38.753,67;3.108,67;383,18;CDSUBELEMENTODESPESA
"            - 46 - Auxílio - Alimentação";107.300,00;78.442,39;78.442,39;CDELEMENTODESPESA
"                33904601 - Auxílio - Alimentação - RPPS";43.200,00;22.976,87;22.976,87;CDSUBELEMENTODESPESA
"                33904602 - Auxílio - Alimentação - RGPS";64.100,00;55.465,52;55.465,52;CDSUBELEMENTODESPESA
"            - 49 - Auxílio - Transporte";9.940,00;8.086,18;8.086,18;CDELEMENTODESPESA
"                33904901 - Auxílio - Transporte RPPS";6.970,00;5.252,82;5.252,82;CDSUBELEMENTODESPESA
"                33904902 - Auxílio - Transporte RGPS";2.970,00;2.833,36;2.833,36;CDSUBELEMENTODESPESA
"            - 8 - Outros Benefícios Assistenciais do servidor ou do Militar";19.000,00;12.670,95;12.670,95;CDELEMENTODESPESA
"                33900801 - Auxílio Educação - RPPS";19.000,00;12.670,95;12.670,95;CDSUBELEMENTODESPESA
"            - 92 - Despesas de Exercícios Anteriores";11.828,17;11.828,17;11.828,17;CDELEMENTODESPESA
"                33909207 - Locação de Mão-de-Obra";11.828,17;11.828,17;11.828,17;CDSUBELEMENTODESPESA
"            - 93 - Indenizações e Restituições";99.423,45;99.423,45;99.423,45;CDELEMENTODESPESA
"                33909310 - Outras Indenizações Serviços Terceiros";99.423,45;99.423,45;99.423,45;CDSUBELEMENTODESPESA
"                33909315 - Ressarcimento de Despesas";0,00;0,00;0,00;CDSUBELEMENTODESPESA
"      - 4 - Despesas de Capital";12.425,76;21.170,00;21.170,00;CDCATEGORIAECONOMICA
"        - 44 - Investimentos";12.425,76;21.170,00;21.170,00;CDGRUPODESPESA
"          - 90 - Aplicações Diretas";12.425,76;21.170,00;21.170,00;CDMODALIDADEAPLICACAO
"            - 52 - Equipamentos e Material Permanente";12.425,76;21.170,00;21.170,00;CDELEMENTODESPESA
"                44905208 - Aparelhos e Utensílios de Copa e Cozinha";12.425,76;0,00;0,00;CDSUBELEMENTODESPESA
"                44905201 - Equipamentos de Processamentos de Dados";0,00;21.170,00;21.170,00;CDSUBELEMENTODESPESA
"    - 23 - Comércio e Serviços";61.245.941,61;25.743.677,60;24.446.330,52;CDFUNCAO
"      - 3 - Despesas Correntes";25.777.895,54;16.462.539,65;15.557.922,54;CDCATEGORIAECONOMICA
"        - 33 - Outras Despesas Correntes";25.777.895,54;16.462.539,65;15.557.922,54;CDGRUPODESPESA
"          - 90 - Aplicações Diretas";25.777.895,54;16.462.539,65;15.557.922,54;CDMODALIDADEAPLICACAO
"            - 14 - Diárias - Pessoal Civil";48.608,50;48.608,50;48.608,50;CDELEMENTODESPESA
"                33901402 - Diárias Viagens Internacionais";46.282,50;46.282,50;46.282,50;CDSUBELEMENTODESPESA
"                33901401 - Diárias Viagens Nacionais";2.326,00;2.326,00;2.326,00;CDSUBELEMENTODESPESA
"            - 32 - Material, Bem ou Serviço para Distribuição Gratuita";2.283.282,90;0,00;0,00;CDELEMENTODESPESA
"                33903203 - Material e Suprimentos para Assistência Social";2.283.282,90;0,00;0,00;CDSUBELEMENTODESPESA
"            - 33 - Passagens e Despesas com Locomoção";30.000,00;0,00;0,00;CDELEMENTODESPESA
"                33903302 - Passagens Internacionais";30.000,00;0,00;0,00;CDSUBELEMENTODESPESA
"            - 35 - Serviços de Consultoria";6.799.900,81;5.017.070,44;4.809.586,59;CDELEMENTODESPESA
"                33903509 - Assistência Social";107.255,20;128.042,24;120.738,24;CDSUBELEMENTODESPESA
"                33903504 - Consultoria de Engenharia e Arquitetura PF";4.122,39;10.095,11;10.095,11;CDSUBELEMENTODESPESA
"                33903514 - Consultoria e Assessoria Contábil PF";403.474,00;243.264,00;234.632,00;CDSUBELEMENTODESPESA
"                33903506 - Consultoria e Assessoria Jurídica PF";96.845,06;52.440,00;52.440,00;CDSUBELEMENTODESPESA
"                33903505 - Consultoria e Assessoria Jurídica PJ";1.686.809,14;311.795,79;311.795,79;CDSUBELEMENTODESPESA
"                33903512 - Engenharia e Arquitetura PF";824.432,19;103.586,34;103.586,34;CDSUBELEMENTODESPESA
"                33903508 - Outras consultorias PF";1.198.363,70;1.178.753,18;1.178.753,18;CDSUBELEMENTODESPESA
"                33903507 - Outras consultorias PJ";2.478.599,13;2.989.093,78;2.797.545,93;CDSUBELEMENTODESPESA
"            - 37 - Locação de Mão de obra";720.000,00;448.508,59;385.216,13;CDELEMENTODESPESA
"                33903713 - Serviço Administrativo - Verbas Eventuais";106.365,59;23.804,31;20.854,40;CDSUBELEMENTODESPESA
"                33903704 - Serviço Administrativo";549.521,75;380.984,38;320.641,83;CDSUBELEMENTODESPESA
"                33903712 - Serviço de Vigilância - Verba Eventuais";64.112,66;0,00;0,00;CDSUBELEMENTODESPESA
"                33903703 - Serviço de Vigilância";0,00;43.719,90;43.719,90;CDSUBELEMENTODESPESA
"            - 39 - Outros Serviços de Terceiros - Pessoa Jurídica";15.536.215,82;10.599.572,72;9.921.600,48;CDELEMENTODESPESA
"                33903995 - Confecções";2.058.541,73;1.335.938,50;1.335.938,50;CDSUBELEMENTODESPESA
"                33903983 - Direitos Autorais";25.250,00;12.602,28;10.501,90;CDSUBELEMENTODESPESA
"                33903910 - Fornecimento de Água";160.250,00;80.969,72;80.969,72;CDSUBELEMENTODESPESA
"                33903924 - Manutenção e Conservação de bens imóveis";1.480.937,42;390.759,99;149.225,09;CDSUBELEMENTODESPESA
"                33903974 - Montagem de Instalação de Sistemas de Sinalização";0,00;0,00;0,00;CDSUBELEMENTODESPESA
"                33903974 - Montagem e Instalação de Sistemas de Sinalização";1.128.502,54;768.034,52;768.034,52;CDSUBELEMENTODESPESA
"                33903939 - Patrocínio de Eventos";1.771.000,00;1.906.000,00;1.911.000,00;CDSUBELEMENTODESPESA
"                33903975 - Serviços Técnicos Profissionais";8.911.734,13;6.105.267,71;5.665.930,75;CDSUBELEMENTODESPESA
"            - 40 - Serviços de Tecnologia da Informação e Comunicação - PJ";79.800,00;8.645,00;0,00;CDELEMENTODESPESA
"                33904010 - Comunicação de Dados";79.800,00;8.645,00;0,00;CDSUBELEMENTODESPESA
"            - 47 - Obrigações Tributárias e Contributivas";280.002,05;340.048,94;392.825,38;CDELEMENTODESPESA
"                33904705 - INSS";280.002,05;340.048,94;392.825,38;CDSUBELEMENTODESPESA
"            - 93 - Indenizações e Restituições";85,46;85,46;85,46;CDELEMENTODESPESA
"                33909306 - Restituição de Valor";85,46;85,46;85,46;CDSUBELEMENTODESPESA
"      - 4 - Despesas de Capital";35.468.046,07;9.281.137,95;8.888.407,98;CDCATEGORIAECONOMICA
"        - 44 - Investimentos";35.468.046,07;9.281.137,95;8.888.407,98;CDGRUPODESPESA
"          - 90 - Aplicações Diretas";35.468.046,07;9.281.137,95;8.888.407,98;CDMODALIDADEAPLICACAO
"            - 39 - Outros Serviços de Terceiros - Pessoa Jurídica";3.649.131,48;775.449,69;845.675,02;CDELEMENTODESPESA
"                44903922 - Projetos de Engenharia";3.318.230,77;727.024,50;684.482,50;CDSUBELEMENTODESPESA
"                44903923 - Serviços Especializados";330.900,71;48.425,19;161.192,52;CDSUBELEMENTODESPESA
"            - 40 - Serviços de Tecnologia da Informação e Comunicação - PJ";28.500,00;0,00;0,00;CDELEMENTODESPESA
"                44904001 - Desenvolvimento de Software";28.500,00;0,00;0,00;CDSUBELEMENTODESPESA
"            - 51 - Obras e Instalações";22.505.982,19;1.631.642,55;1.168.687,25;CDELEMENTODESPESA
"                44905102 - Construção e Ampliação de Edifícios Públicos";260.381,00;705.731,95;705.731,95;CDSUBELEMENTODESPESA
"                44905101 - Construção e Pavimentação de Ruas e Vias de Acesso";22.245.601,19;925.910,60;462.955,30;CDSUBELEMENTODESPESA
"                44905108 - Outras Obras Infra-Estrutura e Urbanismo";0,00;0,00;0,00;CDSUBELEMENTODESPESA
"            - 52 - Equipamentos e Material Permanente";9.284.432,40;6.874.045,71;6.874.045,71;CDELEMENTODESPESA
"                44905204 - Bens Móveis - Móveis e Utensílios";5.613.670,74;4.536.043,14;4.536.043,14;CDSUBELEMENTODESPESA
"                44905212 - Equipamento de Refrigeração";845.154,85;839.980,06;839.980,06;CDSUBELEMENTODESPESA
"                44905201 - Equipamentos de Processamentos de Dados";186.000,00;441.770,00;441.770,00;CDSUBELEMENTODESPESA
"                44905217 - Equipamentos de Segurança";2.639.606,81;1.056.252,51;1.056.252,51;CDSUBELEMENTODESPESA
" - 543002 - UG FGM - Fundação Gregório de Matos";10.849.551,86;7.799.358,15;7.456.861,39;CDUNIDADEGESTORA
"    - 13 - Cultura";10.849.551,86;7.799.358,15;7.456.861,39;CDFUNCAO
"      - 3 - Despesas Correntes";10.849.551,86;7.799.358,15;7.456.861,39;CDCATEGORIAECONOMICA
"        - 31 - Pessoal e Encargos Sociais";2.060.031,23;2.058.630,52;2.053.977,53;CDGRUPODESPESA
"          - 90 - Aplicações Diretas";1.809.860,21;1.808.459,50;1.805.229,15;CDMODALIDADEAPLICACAO
"            - 11 - Vencimentos e Vantagens Fixas - Pessoal Civil";1.666.097,24;1.666.097,24;1.666.097,24;CDELEMENTODESPESA
"                31901148 - 13º Salário - RGPS";5.364,15;5.364,15;5.364,15;CDSUBELEMENTODESPESA
"                31901147 - 13º Salário - RPPS";24.825,62;24.825,62;24.825,62;CDSUBELEMENTODESPESA
"                31901107 - ABONO PERMANÊNCIA - RPPS";47.964,38;47.964,38;47.964,38;CDSUBELEMENTODESPESA
"                31901125 - COMPLEMENTAÇÃO SALARIAL - RPPS";71.730,15;71.730,15;71.730,15;CDSUBELEMENTODESPESA
"                31901126 - COMPLEMENTAÇÃO SALARIAL - RGPS";256,98;256,98;256,98;CDSUBELEMENTODESPESA
"                31901145 - FÉRIAS - ABONO CONSTITUCIONAL - RGPS";44.447,19;44.447,19;44.447,19;CDSUBELEMENTODESPESA
"                31901141 - FÉRIAS - ABONO CONSTITUCIONAL - RPPS";16.863,71;16.863,71;16.863,71;CDSUBELEMENTODESPESA
"                31901153 - FÉRIAS - RPPS";119.970,78;119.970,78;119.970,78;CDSUBELEMENTODESPESA
"                31901152 - FÉRIAS - RGPS";1.905,04;1.905,04;1.905,04;CDSUBELEMENTODESPESA
"                31901121 - GRATIFICAÇÃO DE TEMPO DE SERVIÇO - RPPS";126.744,83;126.744,83;126.744,83;CDSUBELEMENTODESPESA
"                31901115 - GRATIFICAÇÃO POR EXERCÍCIO DE CARGO EM COMISSÃO - RPPS";16.851,89;16.851,89;16.851,89;CDSUBELEMENTODESPESA
"                31901116 - GRATIFICAÇÃO POR EXERCÍCIO DE CARGO EM COMISSÃO - RGPS";290.638,74;290.638,74;290.638,74;CDSUBELEMENTODESPESA
"                31901118 - GRATIFICAÇÃO POR EXERCÍCIO DE FUNÇÕES - RGPS";14.895,19;14.895,19;14.895,19;CDSUBELEMENTODESPESA
"                31901117 - GRATIFICAÇÃO POR EXERCÍCIO DE FUNÇÕES - RPPS";45.552,17;45.552,17;45.552,17;CDSUBELEMENTODESPESA
"                31901150 - Incorporação RPPS";75.152,79;75.152,79;75.152,79;CDSUBELEMENTODESPESA
"                31901155 - SALÁRIO MATERNIDADE - RGPS";14.584,34;14.584,34;14.584,34;CDSUBELEMENTODESPESA
"                31901101 - VENCIMENTOS E SALÁRIOS - RPPS";588.495,70;588.495,70;588.495,70;CDSUBELEMENTODESPESA
"                31901102 - VENCIMENTOS E SALÁRIOS - RGPS";159.853,59;159.853,59;159.853,59;CDSUBELEMENTODESPESA
"            - 13 - Obrigações Patronais";120.327,17;118.926,46;115.696,11;CDELEMENTODESPESA
"                31901301 - Contribuições Para o Regime Geral de Previdência - INSS";102.039,63;100.638,92;100.514,44;CDSUBELEMENTODESPESA
"                31901305 - PASEP";18.287,54;18.287,54;15.181,67;CDSUBELEMENTODESPESA
"            - 16 - Outras Despesas Variáveis - Pessoal Civil";6.638,62;6.638,62;6.638,62;CDELEMENTODESPESA
"                31901606 - Substituição - RGPS";6.131,42;6.131,42;6.131,42;CDSUBELEMENTODESPESA
"                31901605 - Substituição - RPPS";507,20;507,20;507,20;CDSUBELEMENTODESPESA
"            - 95 - Indenização pela Execução de Trabalho de Campo";16.797,18;16.797,18;16.797,18;CDELEMENTODESPESA
"                31909504 - Operaçao Carnaval - RGPS";3.867,12;3.867,12;3.867,12;CDSUBELEMENTODESPESA
"                31909503 - Operação Carnaval - RPPS";12.930,06;12.930,06;12.930,06;CDSUBELEMENTODESPESA
"          - 91 - Aplicação Direta Decorrente de Operação Intra-Orçamentária";250.171,02;250.171,02;248.748,38;CDMODALIDADEAPLICACAO
"            - 13 - Obrigações Patronais";250.171,02;250.171,02;248.748,38;CDELEMENTODESPESA
"                31911307 - Contribuição Patronal Extraordinária para Cobertura de Déficit Atuarial";8.070,05;8.070,05;6.647,41;CDSUBELEMENTODESPESA
"                31911302 - Contribuições para o RPPS FUNFIN";242.100,97;242.100,97;242.100,97;CDSUBELEMENTODESPESA
"        - 33 - Outras Despesas Correntes";8.789.520,63;5.740.727,63;5.402.883,86;CDGRUPODESPESA
"          - 50 - Transferências a Instituições Privadas Sem Fins Lucrativos";1.600.000,00;600.000,00;600.000,00;CDMODALIDADEAPLICACAO
"            - 41 - Contribuições";1.600.000,00;600.000,00;600.000,00;CDELEMENTODESPESA
"                33504105 - Contribuições para Fins Culturais";1.600.000,00;600.000,00;600.000,00;CDSUBELEMENTODESPESA
"          - 90 - Aplicações Diretas";7.189.520,63;5.140.727,63;4.802.883,86;CDMODALIDADEAPLICACAO
"            - 14 - Diárias - Pessoal Civil";235,20;235,20;235,20;CDELEMENTODESPESA
"                33901401 - Diárias Viagens Nacionais";235,20;235,20;235,20;CDSUBELEMENTODESPESA
"            - 30 - Material de Consumo";102.942,93;48.561,29;46.616,17;CDELEMENTODESPESA
"                33903002 - Combustíveis";37.617,46;19.106,39;19.106,39;CDSUBELEMENTODESPESA
"                33903038 - Gás";2.262,00;0,00;0,00;CDSUBELEMENTODESPESA
"                33903012 - Gêneros Alimentícios - Outros";10.900,20;1.569,80;802,80;CDSUBELEMENTODESPESA
"                33903003 - Material de Escritório / Material de Expediente";6.862,87;5.522,10;5.522,10;CDSUBELEMENTODESPESA
"                33903017 - Material de Limpeza e Higiene";17.480,32;13.016,70;11.838,58;CDSUBELEMENTODESPESA
"                33903016 - Material Elétrico e Eletrônico";1.160,98;0,00;0,00;CDSUBELEMENTODESPESA
"                33903026 - Vestuário e Calçados";26.659,10;9.346,30;9.346,30;CDSUBELEMENTODESPESA
"            - 31 - Premiações Culturais, Artíst, Científ, Desport E Outras";1.415.000,00;1.315.000,00;1.315.000,00;CDELEMENTODESPESA
"                33903108 - Outras premiações";175.000,00;175.000,00;175.000,00;CDSUBELEMENTODESPESA
"                33903104 - Outras premiações de caratér cultural";220.000,00;120.000,00;120.000,00;CDSUBELEMENTODESPESA
"                33903105 - Premiações Artísticas";1.020.000,00;1.020.000,00;1.020.000,00;CDSUBELEMENTODESPESA
"            - 33 - Passagens e Despesas com Locomoção";7.000,00;902,36;902,36;CDELEMENTODESPESA
"                33903301 - Passagens Nacionais";7.000,00;902,36;902,36;CDSUBELEMENTODESPESA
"            - 35 - Serviços de Consultoria";63.000,00;54.000,00;45.180,00;CDELEMENTODESPESA
"                33903513 - Consultoria e Assessoria Contábil PJ";63.000,00;54.000,00;45.180,00;CDSUBELEMENTODESPESA
"            - 36 - Outros Serviços de Terceiros - Pessoa Física";226.894,54;161.194,54;154.238,24;CDELEMENTODESPESA
"                33903603 - Estagiários e Monitores";18.794,54;18.794,54;18.794,54;CDSUBELEMENTODESPESA
"                33903601 - Locação de Imóvel";128.700,00;78.000,00;78.000,00;CDSUBELEMENTODESPESA
"                33903602 - Serviços Prestados por PF de Natureza Eventual";0,00;0,00;0,00;CDSUBELEMENTODESPESA
"                33903607 - Serviços Profissionais Especializados";79.400,00;64.400,00;57.443,70;CDSUBELEMENTODESPESA
"            - 37 - Locação de Mão de obra";3.039.896,26;1.827.034,46;1.777.278,91;CDELEMENTODESPESA
"                33903704 - Serviço Administrativo";2.420.657,89;1.503.222,61;1.453.467,06;CDSUBELEMENTODESPESA
"                33903708 - Serviço de Motoboy e Motorista";130.144,00;54.719,24;54.719,24;CDSUBELEMENTODESPESA
"                33903707 - Serviço de Recepção e Telefonista";129.986,86;57.267,60;57.267,60;CDSUBELEMENTODESPESA
"                33903701 - Serviços de Limpeza";359.107,51;211.825,01;211.825,01;CDSUBELEMENTODESPESA
"            - 39 - Outros Serviços de Terceiros - Pessoa Jurídica";1.947.997,96;1.434.909,63;1.166.072,83;CDELEMENTODESPESA
"                33903910 - Fornecimento de Água";30.000,00;29.620,80;29.620,80;CDSUBELEMENTODESPESA
"                33903903 - Locação de Imóvel";45.329,10;45.329,10;45.329,10;CDSUBELEMENTODESPESA
"                33903914 - Locação de Máquinas e Equipamentos";64.579,64;16.674,13;16.674,13;CDSUBELEMENTODESPESA
"                33903902 - Locação de Veículos";109.382,56;45.602,01;45.602,01;CDSUBELEMENTODESPESA
"                33903927 - Manutenção e Conservação de Máquinas e Equipamentos";32.640,00;0,00;0,00;CDSUBELEMENTODESPESA
"                33903929 - Manutenção e Conservação de Outros Bens Móveis";33.606,50;0,00;0,00;CDSUBELEMENTODESPESA
"                33903972 - Manutenção Equipamentos e Máquinas";0,00;33.687,72;33.687,72;CDSUBELEMENTODESPESA
"                33903930 - Outros Serviços de Manutenção e Conservação";0,00;12.150,00;12.150,00;CDSUBELEMENTODESPESA
"                33903912 - Serviços de Postagem, Entregas e Cobranças";4.400,04;0,00;0,00;CDSUBELEMENTODESPESA
"                33903942 - Serviços de Transporte";16.400,04;4.046,56;4.046,56;CDSUBELEMENTODESPESA
"                33903975 - Serviços Técnicos Profissionais";1.602.320,89;1.245.336,54;976.499,74;CDSUBELEMENTODESPESA
"                33903908 - Serviços Telefonia Fixa, Móvel Sem Pacote de Dados";9.339,19;2.462,77;2.462,77;CDSUBELEMENTODESPESA
"            - 40 - Serviços de Tecnologia da Informação e Comunicação - PJ";225.436,76;145.426,44;145.426,44;CDELEMENTODESPESA
"                33904010 - Comunicação de Dados";0,00;7.608,18;7.608,18;CDSUBELEMENTODESPESA
"                33904007 - Digitalização/Indexação de Documentos";10.935,01;0,00;0,00;CDSUBELEMENTODESPESA
"                33904001 - Locação de Equip Informática";106.007,57;62.099,24;62.099,24;CDSUBELEMENTODESPESA
"                33904009 - Outsourcing de Impressão";64.620,00;32.310,00;32.310,00;CDSUBELEMENTODESPESA
"                33904002 - Serviços Telefonia Fixa, Móvel Com Pacote de Dados";43.874,18;43.409,02;43.409,02;CDSUBELEMENTODESPESA
"            - 46 - Auxílio - Alimentação";94.665,25;94.665,25;94.665,25;CDELEMENTODESPESA
"                33904601 - Auxílio - Alimentação - RPPS";66.030,11;66.030,11;66.030,11;CDSUBELEMENTODESPESA
"                33904602 - Auxílio - Alimentação - RGPS";28.635,14;28.635,14;28.635,14;CDSUBELEMENTODESPESA
"            - 47 - Obrigações Tributárias e Contributivas";15.880,00;12.880,00;11.350,00;CDELEMENTODESPESA
"                33904705 - INSS";15.880,00;12.880,00;11.350,00;CDSUBELEMENTODESPESA
"            - 49 - Auxílio - Transporte";23.150,72;18.497,45;18.497,45;CDELEMENTODESPESA
"                33904901 - Auxílio - Transporte RPPS";15.712,68;15.712,68;15.712,68;CDSUBELEMENTODESPESA
"                33904902 - Auxílio - Transporte RGPS";7.438,04;2.784,77;2.784,77;CDSUBELEMENTODESPESA
"            - 8 - Outros Benefícios Assistenciais do servidor ou do Militar";14.163,85;14.163,85;14.163,85;CDELEMENTODESPESA
"                33900801 - Auxílio Educação - RPPS";14.163,85;14.163,85;14.163,85;CDSUBELEMENTODESPESA
"            - 92 - Despesas de Exercícios Anteriores";13.257,16;13.257,16;13.257,16;CDELEMENTODESPESA
"                33909207 - Locação de Mão-de-Obra";13.257,16;13.257,16;13.257,16;CDSUBELEMENTODESPESA
" - 547002 - UG SALTUR - Empresa Salvador Turismo";126.954.101,30;140.056.031,31;140.341.618,96;CDUNIDADEGESTORA
"    - 23 - Comércio e Serviços";126.642.172,59;139.954.803,08;140.240.390,73;CDFUNCAO
"      - 3 - Despesas Correntes";126.640.461,62;139.954.803,08;140.240.390,73;CDCATEGORIAECONOMICA
"        - 31 - Pessoal e Encargos Sociais";8.059.393,49;5.703.117,35;5.808.473,82;CDGRUPODESPESA
"          - 90 - Aplicações Diretas";8.010.435,61;5.674.482,03;5.779.997,31;CDMODALIDADEAPLICACAO
"            - 11 - Vencimentos e Vantagens Fixas - Pessoal Civil";5.652.865,00;3.976.552,89;3.976.552,89;CDELEMENTODESPESA
"                31901147 - 13º Salário - RPPS";10.000,00;0,00;0,00;CDSUBELEMENTODESPESA
"                31901148 - 13º Salário - RGPS";55.000,00;45.529,01;45.529,01;CDSUBELEMENTODESPESA
"                31901107 - ABONO PERMANÊNCIA - RPPS";19.000,00;11.559,79;11.559,79;CDSUBELEMENTODESPESA
"                31901136 - ADIANTAMENTO PECUNIÁRIO - RGPS";116.000,00;77.217,35;77.217,35;CDSUBELEMENTODESPESA
"                31901126 - COMPLEMENTAÇÃO SALARIAL - RGPS";10.650,00;4.484,02;4.484,02;CDSUBELEMENTODESPESA
"                31901125 - COMPLEMENTAÇÃO SALARIAL - RPPS";18.000,00;8.435,01;8.435,01;CDSUBELEMENTODESPESA
"                31901144 - FÉRIAS - ABONO PECUNIÁRIO - RGPS";185.000,00;142.184,64;142.184,64;CDSUBELEMENTODESPESA
"                31901141 - FÉRIAS - ABONO CONSTITUCIONAL - RPPS";9.000,00;7.805,56;7.805,56;CDSUBELEMENTODESPESA
"                31901145 - FÉRIAS - ABONO CONSTITUCIONAL - RGPS";56.000,00;37.243,21;37.243,21;CDSUBELEMENTODESPESA
"                31901153 - FÉRIAS - RPPS";27.000,00;16.687,58;16.687,58;CDSUBELEMENTODESPESA
"                31901143 - FÉRIAS VENCIDAS E PROPORCIONAIS - RGPS";42.000,00;24.749,97;24.749,97;CDSUBELEMENTODESPESA
"                31901122 - GRATIFICAÇÃO DE TEMPO DE SERVIÇO - RGPS";172.000,00;106.966,83;106.966,83;CDSUBELEMENTODESPESA
"                31901121 - GRATIFICAÇÃO DE TEMPO DE SERVIÇO - RPPS";23.500,00;11.458,96;11.458,96;CDSUBELEMENTODESPESA
"                31901115 - GRATIFICAÇÃO POR EXERCÍCIO DE CARGO EM COMISSÃO - RPPS";30.000,00;15.627,08;15.627,08;CDSUBELEMENTODESPESA
"                31901116 - GRATIFICAÇÃO POR EXERCÍCIO DE CARGO EM COMISSÃO - RGPS";2.455.000,00;1.768.089,25;1.768.089,25;CDSUBELEMENTODESPESA
"                31901149 - Incorporação RGPS";72.000,00;49.033,80;49.033,80;CDSUBELEMENTODESPESA
"                31901150 - Incorporação RPPS";51.500,00;22.609,86;22.609,86;CDSUBELEMENTODESPESA
"                31901134 - REMUNERAÇÃO DE DIRETORES";453.000,00;304.903,51;304.903,51;CDSUBELEMENTODESPESA
"                31901155 - SALÁRIO MATERNIDADE - RGPS";33.215,00;30.121,67;30.121,67;CDSUBELEMENTODESPESA
"                31901102 - VENCIMENTOS E SALÁRIOS - RGPS";1.705.000,00;1.226.282,47;1.226.282,47;CDSUBELEMENTODESPESA
"                31901101 - VENCIMENTOS E SALÁRIOS - RPPS";110.000,00;65.563,32;65.563,32;CDSUBELEMENTODESPESA
"            - 13 - Obrigações Patronais";1.791.000,00;1.161.618,73;1.267.134,01;CDELEMENTODESPESA
"                31901303 - Contribuição para o FGTS";456.000,00;298.916,76;250.059,47;CDSUBELEMENTODESPESA
"                31901301 - Contribuições Para o Regime Geral de Previdência - INSS";1.335.000,00;862.701,97;1.017.074,54;CDSUBELEMENTODESPESA
"            - 16 - Outras Despesas Variáveis - Pessoal Civil";8.000,00;5.568,50;5.568,50;CDELEMENTODESPESA
"                31901606 - Substituição - RGPS";8.000,00;5.568,50;5.568,50;CDSUBELEMENTODESPESA
"            - 92 - Despesas de Exercícios Anteriores";6.570,61;6.570,61;6.570,61;CDELEMENTODESPESA
"                31909202 - VENCIMENTOS E SALÁRIOS - RGPS";6.570,61;6.570,61;6.570,61;CDSUBELEMENTODESPESA
"            - 95 - Indenização pela Execução de Trabalho de Campo";552.000,00;524.171,30;524.171,30;CDELEMENTODESPESA
"                31909504 - Operaçao Carnaval - RGPS";394.000,00;393.480,60;393.480,60;CDSUBELEMENTODESPESA
"                31909503 - Operação Carnaval - RPPS";16.000,00;12.878,30;12.878,30;CDSUBELEMENTODESPESA
"                31909502 - Operaçao Chuva - RGPS";2.000,00;1.387,20;1.387,20;CDSUBELEMENTODESPESA
"                31909506 - Operaçoes Especiais - RGPS";140.000,00;116.425,20;116.425,20;CDSUBELEMENTODESPESA
